xflr5 v6.57
NACA 0015
T1_Re0.153_M0.04_N9.0
Alpha =  10.0,  Re =   152873,  Ma = 0.0351,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.493     0.107     0.712     0.945
 0.9928    0.301     0.104     0.836     0.947
 0.9799    0.215     0.096     0.886     0.951
 0.9635    0.143     0.084     0.926     0.957
 0.9445    0.082     0.069     0.958     0.965
 0.9235    0.028     0.051     0.986     0.974
 0.9007   -0.021     0.029     1.010     0.986
 0.8766   -0.068     0.002     1.033     0.999
 0.8512   -0.113    -0.027     1.055     1.013
 0.8249   -0.156    -0.060     1.075     1.029
 0.7977   -0.199    -0.095     1.095     1.046
 0.7699   -0.241    -0.133     1.114     1.064
 0.7415   -0.284    -0.173     1.133     1.083
 0.7127   -0.327    -0.214     1.152     1.102
 0.6836   -0.371    -0.257     1.171     1.121
 0.6543   -0.415    -0.301     1.190     1.140
 0.6249   -0.462    -0.346     1.209     1.160
 0.5955   -0.509    -0.393     1.228     1.180
 0.5661   -0.559    -0.441     1.248     1.200
 0.5368   -0.611    -0.491     1.269     1.221
 0.5077   -0.665    -0.543     1.290     1.242
 0.4789   -0.721    -0.596     1.312     1.263
 0.4505   -0.780    -0.651     1.334     1.285
 0.4225   -0.842    -0.709     1.357     1.307
 0.3949   -0.906    -0.769     1.380     1.330
 0.3678   -0.975    -0.831     1.405     1.353
 0.3413   -1.046    -0.896     1.430     1.377
 0.3155   -1.122    -0.963     1.456     1.401
 0.2904   -1.202    -1.033     1.483     1.426
 0.2659   -1.286    -1.106     1.512     1.451
 0.2423   -1.376    -1.181     1.541     1.476
 0.2195   -1.472    -1.258     1.572     1.502
 0.1976   -1.574    -1.336     1.604     1.528
 0.1766   -1.685    -1.416     1.638     1.554
 0.1566   -1.804    -1.500     1.674     1.580
 0.1376   -1.935    -1.616     1.712     1.617
 0.1197   -2.079    -1.897     1.754     1.701
 0.1028   -2.238    -2.512     1.799     1.873
 0.0871   -2.418    -2.579     1.848     1.891
 0.0726   -2.621    -2.623     1.902     1.903
 0.0592   -2.853    -2.676     1.962     1.916
 0.0472   -3.119    -2.752     2.028     1.936
 0.0364   -3.424    -2.875     2.102     1.967
 0.0269   -3.769    -3.068     2.182     2.016
 0.0188   -4.144    -3.335     2.266     2.081
 0.0121   -4.507    -3.605     2.345     2.144
 0.0069   -4.755    -3.759     2.397     2.180
 0.0031   -4.685    -3.625     2.382     2.149
 0.0008   -4.047    -3.013     2.245     2.002
 0.0000   -2.832    -1.956     1.957     1.719
 0.0008   -1.484    -0.826     1.575     1.351
 0.0031   -0.331     0.096     1.154     0.951
 0.0069    0.419     0.657     0.762     0.586
 0.0121    0.810     0.920     0.437     0.283
 0.0188    0.968     0.998     0.179     0.045
 0.0269    1.000     0.980    -0.024    -0.141
 0.0364    0.967     0.917    -0.183    -0.288
 0.0472    0.904     0.837    -0.310    -0.404
 0.0592    0.830     0.752    -0.413    -0.499
 0.0726    0.754     0.670    -0.496    -0.575
 0.0871    0.680     0.592    -0.566    -0.639
 0.1028    0.611     0.522    -0.624    -0.691
 0.1197    0.547     0.458    -0.673    -0.736
 0.1376    0.490     0.401    -0.714    -0.774
 0.1566    0.438     0.350    -0.750    -0.806
 0.1766    0.392     0.305    -0.780    -0.834
 0.1976    0.350     0.265    -0.806    -0.857
 0.2195    0.314     0.230    -0.828    -0.878
 0.2423    0.282     0.199    -0.847    -0.895
 0.2659    0.254     0.173    -0.864    -0.909
 0.2904    0.230     0.150    -0.877    -0.922
 0.3155    0.209     0.130    -0.889    -0.933
 0.3413    0.191     0.114    -0.899    -0.942
 0.3678    0.176     0.099    -0.908    -0.949
 0.3949    0.164     0.087    -0.915    -0.955
 0.4225    0.153     0.077    -0.920    -0.961
 0.4505    0.144     0.069    -0.925    -0.965
 0.4789    0.137     0.062    -0.929    -0.968
 0.5077    0.131     0.057    -0.932    -0.971
 0.5368    0.127     0.052    -0.934    -0.973
 0.5661    0.124     0.049    -0.936    -0.975
 0.5955    0.122     0.047    -0.937    -0.976
 0.6249    0.121     0.045    -0.938    -0.977
 0.6543    0.121     0.044    -0.938    -0.978
 0.6836    0.122     0.044    -0.937    -0.978
 0.7127    0.123     0.044    -0.936    -0.978
 0.7415    0.126     0.045    -0.935    -0.977
 0.7699    0.130     0.047    -0.933    -0.976
 0.7977    0.135     0.050    -0.930    -0.975
 0.8249    0.142     0.053    -0.926    -0.973
 0.8512    0.150     0.058    -0.922    -0.971
 0.8766    0.161     0.063    -0.916    -0.968
 0.9007    0.174     0.070    -0.909    -0.965
 0.9235    0.191     0.077    -0.899    -0.961
 0.9445    0.213     0.085    -0.887    -0.957
 0.9635    0.242     0.093    -0.871    -0.953
 0.9799    0.283     0.100    -0.847    -0.949
 0.9928    0.340     0.105    -0.812    -0.946
 1.0000    0.493     0.107    -0.712    -0.945


