xflr5 v6.57
NACA 0015
T1_Re0.153_M0.04_N9.0
Alpha =   5.0,  Re =   152873,  Ma = 0.0351,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.482     0.099     0.720     0.949
 0.9928    0.295     0.090     0.840     0.954
 0.9799    0.214     0.068     0.886     0.965
 0.9635    0.149     0.042     0.923     0.979
 0.9445    0.096     0.014     0.951     0.993
 0.9235    0.049    -0.017     0.975     1.008
 0.9007    0.008    -0.048     0.996     1.023
 0.8766   -0.031    -0.078     1.015     1.038
 0.8512   -0.067    -0.109     1.033     1.053
 0.8249   -0.102    -0.140     1.050     1.068
 0.7977   -0.135    -0.170     1.065     1.082
 0.7699   -0.168    -0.200     1.081     1.095
 0.7415   -0.200    -0.230     1.096     1.109
 0.7127   -0.233    -0.260     1.110     1.122
 0.6836   -0.265    -0.290     1.125     1.136
 0.6543   -0.298    -0.320     1.139     1.149
 0.6249   -0.331    -0.350     1.154     1.162
 0.5955   -0.365    -0.381     1.168     1.175
 0.5661   -0.400    -0.412     1.183     1.188
 0.5368   -0.436    -0.443     1.198     1.201
 0.5077   -0.473    -0.474     1.214     1.214
 0.4789   -0.511    -0.504     1.229     1.226
 0.4505   -0.551    -0.536     1.245     1.239
 0.4225   -0.591    -0.577     1.261     1.256
 0.3949   -0.633    -0.660     1.278     1.288
 0.3678   -0.676    -0.822     1.294     1.350
 0.3413   -0.720    -0.877     1.311     1.370
 0.3155   -0.766    -0.902     1.329     1.379
 0.2904   -0.813    -0.927     1.346     1.388
 0.2659   -0.861    -0.956     1.364     1.398
 0.2423   -0.911    -0.988     1.382     1.410
 0.2195   -0.962    -1.026     1.400     1.423
 0.1976   -1.015    -1.068     1.419     1.438
 0.1766   -1.070    -1.116     1.438     1.454
 0.1566   -1.126    -1.170     1.458     1.473
 0.1376   -1.185    -1.228     1.478     1.492
 0.1197   -1.247    -1.292     1.499     1.513
 0.1028   -1.312    -1.360     1.520     1.536
 0.0871   -1.381    -1.432     1.542     1.559
 0.0726   -1.453    -1.508     1.566     1.583
 0.0592   -1.529    -1.589     1.590     1.608
 0.0472   -1.606    -1.671     1.614     1.634
 0.0364   -1.683    -1.753     1.637     1.659
 0.0269   -1.749    -1.825     1.658     1.680
 0.0188   -1.789    -1.871     1.669     1.694
 0.0121   -1.768    -1.856     1.663     1.689
 0.0069   -1.625    -1.718     1.620     1.648
 0.0031   -1.278    -1.376     1.509     1.541
 0.0008   -0.683    -0.779     1.297     1.334
 0.0000    0.036    -0.047     0.982     1.023
 0.0008    0.616     0.559     0.620     0.665
 0.0031    0.930     0.905     0.266     0.309
 0.0069    0.999     1.000    -0.034     0.008
 0.0121    0.929     0.949    -0.267    -0.228
 0.0188    0.805     0.834    -0.442    -0.408
 0.0269    0.671     0.707    -0.574    -0.542
 0.0364    0.546     0.583    -0.674    -0.646
 0.0472    0.436     0.475    -0.751    -0.725
 0.0592    0.341     0.379    -0.812    -0.788
 0.0726    0.260     0.298    -0.860    -0.838
 0.0871    0.192     0.229    -0.899    -0.878
 0.1028    0.134     0.170    -0.931    -0.911
 0.1197    0.086     0.121    -0.956    -0.938
 0.1376    0.045     0.080    -0.977    -0.959
 0.1566    0.012     0.045    -0.994    -0.977
 0.1766   -0.016     0.017    -1.008    -0.992
 0.1976   -0.038    -0.006    -1.019    -1.003
 0.2195   -0.055    -0.025    -1.027    -1.012
 0.2423   -0.069    -0.039    -1.034    -1.019
 0.2659   -0.079    -0.049    -1.039    -1.024
 0.2904   -0.086    -0.057    -1.042    -1.028
 0.3155   -0.090    -0.061    -1.044    -1.030
 0.3413   -0.092    -0.064    -1.045    -1.031
 0.3678   -0.092    -0.064    -1.045    -1.031
 0.3949   -0.090    -0.062    -1.044    -1.030
 0.4225   -0.086    -0.058    -1.042    -1.029
 0.4505   -0.082    -0.053    -1.040    -1.026
 0.4789   -0.076    -0.047    -1.037    -1.023
 0.5077   -0.069    -0.039    -1.034    -1.019
 0.5368   -0.062    -0.031    -1.030    -1.015
 0.5661   -0.054    -0.021    -1.026    -1.010
 0.5955   -0.045    -0.010    -1.022    -1.005
 0.6249   -0.035     0.002    -1.018    -0.999
 0.6543   -0.026     0.014    -1.013    -0.993
 0.6836   -0.015     0.028    -1.008    -0.986
 0.7127   -0.004     0.042    -1.002    -0.979
 0.7415    0.008     0.055    -0.996    -0.972
 0.7699    0.020     0.066    -0.990    -0.966
 0.7977    0.034     0.076    -0.983    -0.961
 0.8249    0.049     0.083    -0.975    -0.958
 0.8512    0.066     0.089    -0.966    -0.955
 0.8766    0.085     0.093    -0.956    -0.953
 0.9007    0.107     0.095    -0.945    -0.951
 0.9235    0.132     0.097    -0.932    -0.950
 0.9445    0.162     0.098    -0.915    -0.950
 0.9635    0.199     0.099    -0.895    -0.949
 0.9799    0.249     0.099    -0.867    -0.949
 0.9928    0.315     0.099    -0.828    -0.949
 1.0000    0.482     0.099    -0.720    -0.949


