xflr5 v6.57
NACA 0015
T1_Re0.153_M0.04_N9.0
Alpha =   0.0,  Re =   152908,  Ma = 0.0350,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.478     0.225     0.723     0.881
 0.9928    0.300     0.212     0.837     0.887
 0.9799    0.226     0.188     0.880     0.901
 0.9635    0.168     0.160     0.912     0.916
 0.9445    0.123     0.130     0.937     0.933
 0.9235    0.084     0.096     0.957     0.951
 0.9007    0.051     0.054     0.974     0.973
 0.8766    0.020    -0.006     0.990     1.003
 0.8512   -0.007    -0.092     1.004     1.045
 0.8249   -0.033    -0.151     1.016     1.073
 0.7977   -0.057    -0.157     1.028     1.076
 0.7699   -0.080    -0.163     1.039     1.078
 0.7415   -0.102    -0.170     1.050     1.082
 0.7127   -0.124    -0.177     1.060     1.085
 0.6836   -0.145    -0.186     1.070     1.089
 0.6543   -0.167    -0.195     1.080     1.093
 0.6249   -0.188    -0.207     1.090     1.098
 0.5955   -0.209    -0.220     1.099     1.104
 0.5661   -0.230    -0.235     1.109     1.111
 0.5368   -0.251    -0.251     1.119     1.119
 0.5077   -0.273    -0.270     1.128     1.127
 0.4789   -0.294    -0.290     1.138     1.136
 0.4505   -0.316    -0.310     1.147     1.145
 0.4225   -0.337    -0.332     1.156     1.154
 0.3949   -0.358    -0.353     1.165     1.163
 0.3678   -0.379    -0.374     1.174     1.172
 0.3413   -0.399    -0.394     1.183     1.181
 0.3155   -0.419    -0.414     1.191     1.189
 0.2904   -0.437    -0.433     1.199     1.197
 0.2659   -0.455    -0.451     1.206     1.204
 0.2423   -0.471    -0.467     1.213     1.211
 0.2195   -0.485    -0.481     1.219     1.217
 0.1976   -0.498    -0.494     1.224     1.222
 0.1766   -0.508    -0.504     1.228     1.226
 0.1566   -0.515    -0.511     1.231     1.229
 0.1376   -0.519    -0.515     1.232     1.231
 0.1197   -0.518    -0.515     1.232     1.231
 0.1028   -0.513    -0.510     1.230     1.228
 0.0871   -0.502    -0.498     1.225     1.224
 0.0726   -0.483    -0.479     1.218     1.216
 0.0592   -0.453    -0.448     1.205     1.203
 0.0472   -0.410    -0.404     1.187     1.185
 0.0364   -0.346    -0.340     1.160     1.157
 0.0269   -0.255    -0.247     1.120     1.117
 0.0188   -0.124    -0.115     1.060     1.056
 0.0121    0.062     0.070     0.969     0.964
 0.0069    0.311     0.320     0.830     0.825
 0.0031    0.611     0.616     0.624     0.620
 0.0008    0.885     0.887     0.340     0.337
 0.0000    1.000     1.000    -0.000     0.000
 0.0008    0.885     0.887    -0.340    -0.337
 0.0031    0.611     0.616    -0.624    -0.620
 0.0069    0.311     0.320    -0.830    -0.825
 0.0121    0.062     0.070    -0.969    -0.964
 0.0188   -0.124    -0.115    -1.060    -1.056
 0.0269   -0.255    -0.247    -1.120    -1.117
 0.0364   -0.346    -0.340    -1.160    -1.157
 0.0472   -0.410    -0.404    -1.187    -1.185
 0.0592   -0.453    -0.448    -1.205    -1.203
 0.0726   -0.483    -0.479    -1.218    -1.216
 0.0871   -0.502    -0.498    -1.225    -1.224
 0.1028   -0.513    -0.510    -1.230    -1.228
 0.1197   -0.518    -0.515    -1.232    -1.231
 0.1376   -0.519    -0.515    -1.232    -1.231
 0.1566   -0.515    -0.511    -1.231    -1.229
 0.1766   -0.508    -0.504    -1.228    -1.226
 0.1976   -0.498    -0.494    -1.224    -1.222
 0.2195   -0.485    -0.481    -1.219    -1.217
 0.2423   -0.471    -0.467    -1.213    -1.211
 0.2659   -0.455    -0.451    -1.206    -1.204
 0.2904   -0.437    -0.433    -1.199    -1.197
 0.3155   -0.419    -0.414    -1.191    -1.189
 0.3413   -0.399    -0.394    -1.183    -1.181
 0.3678   -0.379    -0.374    -1.174    -1.172
 0.3949   -0.358    -0.353    -1.165    -1.163
 0.4225   -0.337    -0.332    -1.156    -1.154
 0.4505   -0.316    -0.310    -1.147    -1.145
 0.4789   -0.294    -0.290    -1.138    -1.136
 0.5077   -0.273    -0.270    -1.128    -1.127
 0.5368   -0.251    -0.251    -1.119    -1.119
 0.5661   -0.230    -0.235    -1.109    -1.111
 0.5955   -0.209    -0.220    -1.099    -1.104
 0.6249   -0.188    -0.207    -1.090    -1.098
 0.6543   -0.167    -0.195    -1.080    -1.093
 0.6836   -0.145    -0.186    -1.070    -1.089
 0.7127   -0.124    -0.177    -1.060    -1.085
 0.7415   -0.102    -0.170    -1.050    -1.082
 0.7699   -0.080    -0.163    -1.039    -1.078
 0.7977   -0.057    -0.157    -1.028    -1.076
 0.8249   -0.033    -0.151    -1.016    -1.073
 0.8512   -0.007    -0.092    -1.004    -1.045
 0.8766    0.020    -0.006    -0.990    -1.003
 0.9007    0.051     0.054    -0.974    -0.973
 0.9235    0.084     0.096    -0.957    -0.951
 0.9445    0.123     0.130    -0.937    -0.933
 0.9635    0.168     0.160    -0.912    -0.916
 0.9799    0.226     0.188    -0.880    -0.901
 0.9928    0.300     0.212    -0.837    -0.887
 1.0000    0.478     0.225    -0.723    -0.881


